user_id,item_id,score
216,199,1
76,18,2
26,220,3
61,152,1
136,274,4
162,268,1
100,229,3
253,0,1
119,249,2
45,80,1
40,224,2
171,191,4
28,124,4
7,15,2
134,169,1
198,280,2
289,143,3
155,127,2
166,73,2
233,93,1
50,269,2
273,221,1
6,147,1
199,163,3
276,7,3
259,223,1
120,12,2
256,22,2
3,208,5
193,205,3
281,72,1
258,270,1
88,276,3
261,182,1
62,148,1
282,68,4
140,176,1
182,257,1
244,133,3
166,19,4
214,271,3
280,37,1
106,194,2
90,295,3
194,59,1
43,68,1
188,299,1
236,83,5
154,248,3
27,103,1
32,284,1
198,230,2
59,14,1
64,190,1
40,143,1
29,3,3
253,38,1
278,37,1
54,288,5
77,262,4
69,151,1
96,184,1
22,135,3
10,20,1
170,160,1
122,260,3
88,298,2
78,251,1
1,122,2
282,6,3
144,127,4
187,42,1
15,203,2
197,106,1
217,265,1
268,130,3
164,11,3
71,194,1
267,257,4
108,8,1
150,244,1
194,92,3
289,47,1
231,215,1
183,104,4
24,9,5
69,244,1
72,125,1
228,22,2
95,289,1
10,137,1
211,107,4
42,81,1
179,182,5
243,184,1
146,103,1
116,293,4
31,124,1
163,264,4
0,74,4
105,4,4
97,41,1
181,112,2
206,215,3
228,227,2
28,172,3
260,231,1
100,79,1
81,35,3
12,275,4
43,296,3
153,139,2
133,122,3
179,36,5
157,24,4
70,225,3
280,34,1
182,293,3
256,19,4
193,150,1
85,152,3
227,153,4
210,145,2
11,171,2
53,102,1
29,192,1
19,110,1
174,92,3
187,185,2
160,58,1
82,49,3
275,267,2
35,274,4
246,201,1
233,72,1
237,231,4
119,96,2
196,189,1
224,54,4
30,184,4
17,254,2
194,276,2
154,82,3
119,80,4
165,197,3
181,65,3
215,64,4
67,54,1
118,171,1
204,270,1
190,227,3
253,24,1
207,183,4
33,51,2
87,98,3
64,146,2
84,291,4
189,55,4
273,56,1
143,62,3
27,40,2
183,24,2
222,90,4
231,118,4
220,290,1
197,10,3
48,156,2
196,188,1
90,227,3
281,197,1
43,272,3
14,169,2
288,78,2
162,46,3
22,266,2
34,216,1
188,3,1
149,126,2
55,74,1
45,295,4
237,152,4
0,133,3
0,12,4
56,179,2
160,190,1
155,200,1
75,160,2
169,14,3
75,173,3
82,4,4
57,187,3
162,259,1
240,144,4
283,70,3
104,148,3
215,22,4
192,193,1
46,102,2
45,212,2
92,165,3
108,17,1
277,82,3
29,273,4
12,24,3
138,100,1
212,122,3
47,53,3
260,178,2
220,160,1
240,142,3
29,213,5
11,62,4
173,72,4
243,234,1
117,113,1
236,24,3
37,110,1
99,4,4
178,273,1
150,267,1
158,199,4
289,237,1
250,43,3
112,285,2
78,215,5
99,155,3
192,10,1
109,87,3
168,253,3
256,46,4
196,282,1
144,189,1
115,12,5
128,117,1
235,244,1
278,169,1
116,81,3
175,80,3
69,148,1
245,214,2
248,8,3
104,6,1
191,126,3
221,216,1
76,242,1
142,25,2
159,42,2
83,113,3
132,288,1
160,204,1
249,222,2
254,27,1
87,292,3
89,221,3
277,46,4
39,21,5
17,209,2
28,251,1
24,294,2
221,46,3
74,231,1
63,163,1
113,165,1
99,232,3
58,229,4
135,153,4
280,297,1
119,185,1
235,152,1
236,96,5
275,121,5
74,287,1
226,54,2
152,245,1
7,168,2
244,156,1
228,272,1
126,279,3
42,251,1
11,150,5
80,213,1
82,102,2
103,108,3
180,153,3
230,188,1
102,42,1
264,124,4
31,181,1
287,193,1
1,29,1
186,209,3
135,141,5
269,276,2
208,133,2
131,114,4
198,242,3
237,190,1
228,266,3
195,257,1
29,225,1
261,148,2
241,159,1
49,214,2
152,99,2
78,234,1
146,147,1
200,93,3
245,282,4
209,175,3
116,215,2
172,8,3
171,21,4
236,257,5
119,170,4
179,243,4
252,295,1
25,31,1
170,290,3
107,256,1
211,32,5
185,37,1
105,177,1
186,1,1
237,240,3
159,38,3
276,264,1
125,5,1
3,185,2
209,137,4
289,295,1
205,119,3
64,220,2
46,59,2
271,178,2
9,110,1
195,12,1
79,15,3
174,118,3
214,166,4
37,111,1
14,279,3
26,276,5
274,9,3
115,154,3
212,116,2
91,176,1
273,15,1
270,133,2
171,53,5
4,13,2
82,50,2
5,122,2
38,244,3
185,182,1
257,207,1
200,289,2
169,201,1
28,291,1
113,105,1
184,202,1
260,202,1
81,123,1
254,169,1
166,202,1
235,116,1
263,292,3
20,79,3
77,136,1
219,92,4
129,41,2
270,224,1
89,244,3
193,65,2
241,246,1
108,160,1
79,122,4
107,145,1
238,54,3
253,220,1
13,155,2
111,85,1
276,128,3
98,106,1
57,49,2
230,233,1
46,166,4
288,37,2
32,143,1
121,260,1
165,35,2
9,296,1
133,266,3
33,75,1
252,211,1
84,188,3
42,207,4
198,246,2
81,144,3
153,122,3
210,70,3
289,236,1
263,265,3
3,230,2
45,189,1
239,197,1
139,106,4
17,205,3
232,198,3
99,71,3
161,124,1
117,81,2
49,101,1
174,176,2
68,38,3
58,92,2
96,145,1
284,68,3
34,292,3
190,21,3
205,297,1
106,76,3
189,291,2
174,291,2
148,234,1
31,29,1
175,194,1
262,159,3
37,54,1
78,291,1
289,149,2
224,167,3
201,245,4
165,275,2
146,249,1
182,97,1
174,117,2
35,198,4
168,85,1
61,271,1
23,130,1
26,297,4
288,52,1
44,97,1
153,278,1
200,231,3
101,53,3
50,108,1
269,270,1
178,21,4
61,208,3
71,289,1
276,174,1
205,105,5
74,290,2
128,290,3
152,96,1
218,227,5
224,208,3
123,240,3
112,158,2
199,217,3
183,273,1
118,269,1
147,37,1
